"URL","Cena","Cena za m²","Adres","Powierzchnia (m²)","Liczba pokoi","Ogrzewanie","Rynek","Typ ogłoszeniodawcy","Rodzaj zabudowy","Rok budowy","Okna","Materiał budynku"
"https://www.otodom.pl/pl/oferta/gotowy-do-zamieszkania-dom-szeregowy-gdansk-morena-ID4sqxx","2 250 000 zł","10 227 zł/m²","Piecki-Migowo, Gdańsk, pomorskie","220m²","6 pokoi","miejskie","wtórny","biuro nieruchomości","szeregowiec","1990","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/nowy-dom-jednorodzinny-odbior-iii-kwartal-2025-ID4dCHX","579 000 zł","5 043 zł/m²","Bolesławowo, Skarszewy, starogardzki, pomorskie","114.81m²","5 pokoi","gazowe","pierwotny","prywatny","bliźniak","2025","plastikowe","beton komórkowy"
"https://www.otodom.pl/pl/oferta/dom-10-minut-od-wroclawia-bez-posrednikow-ID4uJVK","1 280 000 zł","4 267 zł/m²","Piotrkowiczki, Wisznia Mała, trzebnicki, dolnośląskie","300m²","5 pokoi","pompa ciepła","wtórny","prywatny","wolnostojący","2006","plastikowe","pustak"
"https://www.otodom.pl/pl/oferta/dom-z-potencjalem-i-duza-dzialka-ID4wf35","275 000 zł","3 438 zł/m²","Owiesno, Dzierżoniów, dzierżoniowski, dolnośląskie","80m²","4 pokoje","brak informacji","wtórny","biuro nieruchomości","brak informacji","Brak danych","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/przestronny-dom-w-bliskim-sasiedztwie-lasu-ID4uTAc","1 350 000 zł","7 313 zł/m²","ul. Skowronków, Nowe Chechło, Świerklaniec, tarnogórski, śląskie","184.6m²","5 pokoi","gazowe","wtórny","biuro nieruchomości","wolnostojący","2013","Brak danych","pustak"
"https://www.otodom.pl/pl/oferta/5-pokojowy-dom-133m2-ogrodek-bez-posrednikow-ID4u9Ho","Brak danych","Brak danych","ul. Kozielska, Wojska Polskiego, Gliwice, śląskie","133.53m²","5 pokoi","brak informacji","pierwotny","deweloper","brak informacji","2025","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/nowoczesny-dom-ogrodek-2-miejsca-postojowe-jagodno-ID4weE3","1 029 000 zł","8 611 zł/m²","Jagodno, Krzyki, Wrocław, dolnośląskie","119.5m²","4 pokoje","gazowe","pierwotny","deweloper","szeregowiec","2025","plastikowe","pustak"
"https://www.otodom.pl/pl/oferta/parterowy-dom-na-skarpie-leczyca-ID4w9Ng","1 990 000 zł","13 007 zł/m²","Wiry, Komorniki, poznański, wielkopolskie","153m²","3 pokoje","kominkowe
gazowe","wtórny","biuro nieruchomości","wolnostojący","2000","plastikowe","cegła"
"https://www.otodom.pl/pl/oferta/dom-192-m-dobrzewino-ID4rwse","1 270 000 zł","6 615 zł/m²","Karczemki, Szemud, wejherowski, pomorskie","192m²","5 pokoi","elektryczne
gazowe","wtórny","biuro nieruchomości","wolnostojący","1989","Brak danych","inny"
"https://www.otodom.pl/pl/oferta/dom-15-km-od-lublina-charlez-kolonia-ID4uzaP","989 000 zł","8 041 zł/m²","Charlęż, Spiczyn, łęczyński, lubelskie","123m²","5 pokoi","biomasa","wtórny","biuro nieruchomości","wolnostojący","2011","drewniane","cegła"
"https://www.otodom.pl/pl/oferta/dom-z-garazem-118m2-ogrod-tomaszowice-gmwielkawies-ID4psMK","999 000 zł","8 466 zł/m²","ul.Spokojna, Tomaszowice, Wielka Wieś, krakowski, małopolskie","118m²","5 pokoi","pompa ciepła","pierwotny","prywatny","wolnostojący","2024","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/5-pokojowy-dom-123m2-ogrodek-bez-posrednikow-ID4w7Ba","1 217 898 zł","9 900 zł/m²","ul. Białołęcka, Brzeziny, Białołęka, Warszawa, mazowieckie","123.02m²","5 pokoi","brak informacji","pierwotny","deweloper","brak informacji","2027","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/nowoczesny-dom-w-sercu-natury-wyjatkowa-oferta-ID4w9Hd","861 000 zł","7 274 zł/m²","Gierałtowice, Wieprz, wadowicki, małopolskie","118.36m²","5 pokoi","brak informacji","pierwotny","biuro nieruchomości","wolnostojący","2024","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/dom-w-okolicy-tarnobrzega-z-duzym-ogrodem-ID4u1Fa","849 000 zł","3 859 zł/m²","Tarnobrzeg, podkarpackie","220m²","5 pokoi","kominkowe
gazowe","wtórny","prywatny","wolnostojący","1998","plastikowe","cegła"
"https://www.otodom.pl/pl/oferta/duzy-dom-z-ogrodkiem-w-swietnej-lokalizacji-ID4t42c","500 000 zł","3 846 zł/m²","ul. Władysława Reymonta, Ostrowiec Świętokrzyski, ostrowiecki, świętokrzyskie","130m²","6 pokoi","miejskie","wtórny","prywatny","wolnostojący","1968","plastikowe","cegła"
"https://www.otodom.pl/pl/oferta/dom-na-mazurach-nad-rzeka-w-doskonalej-lokalizacji-ID4ng8V","790 000 zł","2 457 zł/m²","Purda, Purda, olsztyński, warmińsko-mazurskie","321.53m²","4 pokoje","pompa ciepła","wtórny","prywatny","wolnostojący","2023","plastikowe","beton komórkowy"
"https://www.otodom.pl/pl/oferta/5-pokojowy-dom-111m2-ogrodek-bez-posrednikow-ID4uavT","1 095 204 zł","9 841 zł/m²","ul. Przepiórki, Nowa Wola, Lesznowola, piaseczyński, mazowieckie","111.29m²","5 pokoi","brak informacji","pierwotny","deweloper","brak informacji","2026","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/dom-116-m-strzelce-opolskie-ID4wfhy","395 000 zł","3 405 zł/m²","Strzelce Opolskie, Strzelce Opolskie, strzelecki, opolskie","116m²","5 pokoi","brak informacji","wtórny","biuro nieruchomości","brak informacji","Brak danych","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/bezposrednio-ostatni-ID4pYuX","920 000 zł","8 252 zł/m²","Paderewskiego, Pruszków, pruszkowski, mazowieckie","111.49m²","5 pokoi","gazowe","pierwotny","prywatny","bliźniak","2024","plastikowe","cegła"
"https://www.otodom.pl/pl/oferta/letniskowy-domek-drewniany-z-bali-smoldzinski-las-ID4wfnv","490 000 zł","7 000 zł/m²","Smołdziński Las, Smołdzino, słupski, pomorskie","70m²","2 pokoje","elektryczne","wtórny","prywatny","wolnostojący","2021","plastikowe","drewno"
"https://www.otodom.pl/pl/oferta/dom-jednorodzinny-z-garazem-134-84m2-radziszow-ID4uyzI","589 000 zł","4 368 zł/m²","Radziszów, Skawina, krakowski, małopolskie","134.84m²","5 pokoi","gazowe
pompa ciepła","pierwotny","prywatny","wolnostojący","2024","brak","pustak"
"https://www.otodom.pl/pl/oferta/tradycyjna-willa-z-wid-na-tatry-6-apartamentow-ID4w01w","5 900 000 zł","15 946 zł/m²","Kościelisko, Kościelisko, tatrzański, małopolskie","370m²","10+ pokoi","brak informacji","wtórny","biuro nieruchomości","wolnostojący","Brak danych","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/na-sprzedaz-dom-uslugowo-mieszkalny-szczytna-ID4weTs","890 000 zł","14 355 zł/m²","ul. Kościelna, Szczytna, Szczytna, kłodzki, dolnośląskie","62m²","3 pokoje","brak informacji","wtórny","biuro nieruchomości","wolnostojący","2019","plastikowe","Brak danych"
"https://www.otodom.pl/pl/oferta/wolnostojacy-umeblowany-dom-z-ladna-dzialka-ID4weMw","825 000 zł","6 762 zł/m²","Słupsk, pomorskie","122m²","4 pokoje","węglowe","wtórny","biuro nieruchomości","wolnostojący","Brak danych","plastikowe","Brak danych"
"https://www.otodom.pl/pl/oferta/dom-budynek-z-przeznaczeniem-na-uslugi-74-25-a-ID4sgHi","2 600 000 zł","16 774 zł/m²","Jerzmanowice, Jerzmanowice-Przeginia, krakowski, małopolskie","155m²","5 pokoi","gazowe","wtórny","prywatny","wolnostojący","Brak danych","plastikowe","pustak"
"https://www.otodom.pl/pl/oferta/dom-120-m-gniezno-ID4sz3v","550 000 zł","4 583 zł/m²","Gniezno, gnieźnieński, wielkopolskie","120m²","6 pokoi","brak informacji","pierwotny","biuro nieruchomości","wolnostojący","Brak danych","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/dom-jednorodzinny-skrajny-grabocinska-duzy-ogrod-ID4uxtu","730 000 zł","4 867 zł/m²","ul. Grabocińska, Grabocin, Strzemieszyce Wielkie, Dąbrowa Górnicza, śląskie","150m²","3 pokoje","gazowe","pierwotny","biuro nieruchomości","bliźniak","2025","plastikowe","pustak"
"https://www.otodom.pl/pl/oferta/komfortowy-dom-w-zabudowie-szeregowej-jaroty-ID4wfpj","1 699 000 zł","9 234 zł/m²","ul. Diamentowa, Osiedle Generałów, Olsztyn, warmińsko-mazurskie","184m²","5 pokoi","kominkowe
gazowe","wtórny","prywatny","szeregowiec","2015","plastikowe","inny"
"https://www.otodom.pl/pl/oferta/duzy-dom-dla-rodziny-w-doskonalej-lokalizacji-ID4tr57","1 499 000 zł","9 369 zł/m²","Józefów, otwocki, mazowieckie","160m²","7 pokoi","gazowe","wtórny","biuro nieruchomości","wolnostojący","1970","Brak danych","inny"
"https://www.otodom.pl/pl/oferta/funkcjonalny-dom-z-garazem-w-zabudowie-szeregowej-ID4rNmn","600 000 zł","4 463 zł/m²","Bliska, Tobolice, Rzekuń, ostrołęcki, mazowieckie","134.43m²","4 pokoje","gazowe","pierwotny","biuro nieruchomości","szeregowiec","2024","plastikowe","beton komórkowy"
"https://www.otodom.pl/pl/oferta/dom-w-zabudowie-blizniaczej-z-wiata-garazowa-garaz-ID4jgZI","625 000 zł","5 511 zł/m²","ul. Małujowicka, Brzeg, brzeski, opolskie","113.4m²","4 pokoje","gazowe","pierwotny","prywatny","bliźniak","2023","plastikowe","silikat"
"https://www.otodom.pl/pl/oferta/dom-z-potencjalem-na-duzej-dzialce-wegrowo-ID4ursb","395 000 zł","5 130 zł/m²","Węgrowo, Grudziądz, grudziądzki, kujawsko-pomorskie","77m²","3 pokoje","brak informacji","wtórny","biuro nieruchomości","brak informacji","Brak danych","plastikowe","Brak danych"
"https://www.otodom.pl/pl/oferta/okazja-cenowa-twoj-nowy-dom-czeka-na-ciebie-ID4phpp","779 000 zł","3 435 zł/m²","ul. Tadeusza Grodzickiego, Ponikwoda, Lublin, lubelskie","226.8m²","7 pokoi","brak informacji","pierwotny","prywatny","bliźniak","2020","plastikowe","Brak danych"
"https://www.otodom.pl/pl/oferta/atrakcyjna-lokalizacja-przy-zalewie-ID4uWVE","550 000 zł","4 044 zł/m²","ul. Ruczajowa, Dojlidy Górne, Białystok, podlaskie","136m²","3 pokoje","brak informacji","wtórny","biuro nieruchomości","wolnostojący","2008","Brak danych","Brak danych"
"https://www.otodom.pl/pl/oferta/kwitnace-ogrody-dom-z-ogrodem-w-bakowie-7b-ID4sy27","618 000 zł","5 881 zł/m²","ul. Kasztanowa, Bąkowo, Kolbudy, gdański, pomorskie","105.09m²","4 pokoje","gazowe","pierwotny","deweloper","szeregowiec","2024","Brak danych","Brak danych"
