URL,Cena,Cena za m²,Adres,Powierzchnia (m²),Liczba pokoi,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Okna,Materiał budynku
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-76m2-loggia-bezposrednio-ID4ulXs,1 392 290 zł,18 296 zł/m²,"ul. Jana Dekerta, Zabłocie, Podgórze, Kraków, małopolskie",76.1m²,4 pokoje,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/segment-premium-w-atrakcyjnej-cenie-na-bialolece-ID4w1Wx,"1 221 347,22 zł",9 898 zł/m²,"ul. Kazimierza Pułaskiego, Henryków, Białołęka, Warszawa, mazowieckie",123.39m²,3 pokoje,brak informacji,pierwotny,biuro nieruchomości,Brak danych,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-na-mokotowie-ID4wgpd,1 310 000 zł,17 013 zł/m²,"ul. Bukowińska, Ksawerów, Mokotów, Warszawa, mazowieckie",77m²,3 pokoje,miejskie,wtórny,biuro nieruchomości,2007,,Brak danych,
https://www.otodom.pl/pl/oferta/przy-wyciagu-narciarskim-karpatka-ID4wgqQ,830 000 zł,12 625 zł/m²,"ul. Bystra, Karpacz, karkonoski, dolnośląskie",65.74m²,3 pokoje,brak informacji,wtórny,biuro nieruchomości,Brak danych,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/bezposrednio-72-8m-kowale-2-balkony-garaz-ID4uCDx,799 000 zł,10 975 zł/m²,"Kowale, Psie Pole, Wrocław, dolnośląskie",72.8m²,3 pokoje,kotłownia,wtórny,prywatny,2008,,,
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40m2-ogrodek-ID4unDK,Brak danych,Brak danych,"ul. Bieszczadzka, Wielki Kack, Gdynia, pomorskie",40.69m²,2 pokoje,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-84m2-balkon-bez-prowizji-ID4ug6H,Brak danych,Brak danych,"ul. Czesława Miłosza, Redłowo, Gdynia, pomorskie",84.3m²,4 pokoje,brak informacji,pierwotny,deweloper,2027,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/ponizej-10-000-m2-gotowe-do-odbioru-zadzwon-ID4wgoa,600 998 zł,9 990 zł/m²,"Lipa Piotrowska, Psie Pole, Wrocław, dolnośląskie",60.16m²,3 pokoje,gazowe,pierwotny,biuro nieruchomości,Brak danych,,,Brak danych
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-62m2-ogrodek-ID4unDF,Brak danych,Brak danych,"ul. Bieszczadzka, Wielki Kack, Gdynia, pomorskie",62.04m²,3 pokoje,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/jemioluszki-2-pok-do-wejscia-ID4tVVG,491 000 zł,15 504 zł/m²,"ul. Jemiołuszki, Węglin Południowy, Lublin, lubelskie",31.67m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,2024,,,
https://www.otodom.pl/pl/oferta/3-pokojemiasteczko-wilanowgarazkomorka-ID4sgOR,1 072 253 zł,15 999 zł/m²,"ul. Aleksandra Gieysztora, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",67.02m²,3 pokoje,brak informacji,wtórny,biuro nieruchomości,2016,,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-104m2-balkon-bez-prowizji-ID4w7B5,1 124 880 zł,10 750 zł/m²,"ul. Białołęcka, Brzeziny, Białołęka, Warszawa, mazowieckie",104.64m²,4 pokoje,brak informacji,pierwotny,deweloper,2027,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-na-kapusciskach-ID4wgoC,249 500 zł,7 804 zł/m²,"ul. Stanisława Noakowskiego, Kapuściska, Bydgoszcz, kujawsko-pomorskie",31.97m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1960,,Brak danych,
https://www.otodom.pl/pl/oferta/apartament-100m2-2-komorki-lokatorskie-27m2-ID4wehT,1 580 000 zł,15 800 zł/m²,"ul. Cybernetyki, Służewiec, Mokotów, Warszawa, mazowieckie",100m²,3 pokoje,miejskie,wtórny,biuro nieruchomości,2009,,,Brak danych
https://www.otodom.pl/pl/oferta/zabrze-zaborze-ul-lompy-2-pok-45-m2-do-remontu-ID4uVmN,199 000 zł,4 422 zł/m²,"ul. Józefa Lompy, Zaborze Południe, Zabrze, śląskie",45m²,2 pokoje,kotłownia,wtórny,prywatny,1960,,,
https://www.otodom.pl/pl/oferta/mieszkanie-z-potencjalem-do-remontu-centrum-ID4uy6R,399 000 zł,5 766 zł/m²,"Okole, Bydgoszcz, kujawsko-pomorskie",69.2m²,4 pokoje,brak informacji,wtórny,biuro nieruchomości,Brak danych,,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-49m2-balkon-bezposrednio-ID4uiGy,Brak danych,Brak danych,"ul. Gwiazdowa, Karolew, Polesie, Łódź, łódzkie",49.01m²,2 pokoje,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-39m2-balkon-bezposrednio-ID4u8Vw,Brak danych,Brak danych,"ul. Wołowa, Politechniczna, Polesie, Łódź, łódzkie",39.74m²,2 pokoje,brak informacji,pierwotny,deweloper,2027,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/nowe-2-pokojowe-mieszkanie-z-balkonem-i-garazem-ID4wgqj,367 000 zł,7 894 zł/m²,"Boguszyce, Oleśnica, oleśnicki, dolnośląskie",46.49m²,2 pokoje,brak informacji,pierwotny,biuro nieruchomości,2024,,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/3-pokojowe-z-prywatnym-ogrodem-krowodrza-ID4sBhm,1 100 000 zł,18 333 zł/m²,"ul. Feliksa Szlachtowskiego, Bronowice, Bronowice, Kraków, małopolskie",60m²,3 pokoje,gazowe,wtórny,biuro nieruchomości,1992,,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/retkinia-m3-wykonczone-pod-klucz-balkon-winda-ID4w19Z,419 000 zł,9 877 zł/m²,"Radogoszcz, Bałuty, Łódź, łódzkie",42.42m²,2 pokoje,miejskie,wtórny,prywatny,1975,,,
https://www.otodom.pl/pl/oferta/36-08-m-2-pokoje-oddzielna-kuchnia-balkon-ID4w7Qm,283 500 zł,7 858 zł/m²,"ul. Aleksandrowska, Teofilów, Bałuty, Łódź, łódzkie",36.08m²,2 pokoje,miejskie,wtórny,biuro nieruchomości,Brak danych,,,
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-54m2-balkon-bezposrednio-ID4wgti,591 800 zł,10 784 zł/m²,"ul. Jasielska, Podolany, Jeżyce, Poznań, wielkopolskie",54.88m²,3 pokoje,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-38m2-balkon-ID4uaiW,Brak danych,Brak danych,"ul. Do Jaru, Barniewice, Żukowo, kartuski, pomorskie",38.64m²,2 pokoje,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-66m2-balkon-ID4uGb4,Brak danych,Brak danych,"ul. Chylońska, Cisowa, Gdynia, pomorskie",66.75m²,3 pokoje,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/promocja-sloneczne-2-pokoje-tramwaj-rataje-ID4wgrL,"440 101,35 zł",11 408 zł/m²,"Rataje, Nowe Miasto, Poznań, wielkopolskie",38.58m²,2 pokoje,miejskie,pierwotny,biuro nieruchomości,2026,,,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-ogrodek-bez-prowizji-ID4ugFL,374 396 zł,13 944 zł/m²,"Czerska/ul. Władysława Jagiełły, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie",26.85m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/nowoczesnosc-w-centrum-poznania-zadzwon-ID4wgsm,714 156 zł,13 902 zł/m²,"Wilda, Wilda, Poznań, wielkopolskie",51.37m²,1 pokój,brak informacji,pierwotny,biuro nieruchomości,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-2-pokoje-sikornik-perkoza-ID4w7ZF,255 000 zł,6 892 zł/m²,"ul. Perkoza, Sikornik, Gliwice, śląskie",37m²,2 pokoje,brak informacji,wtórny,biuro nieruchomości,Brak danych,,Brak danych,Brak danych
